"chack","bank_account"
"uniqueid_3810 x Kenya","Yes"
"uniqueid_3811 x Kenya","No"
"uniqueid_3812 x Kenya","No"
"uniqueid_3813 x Kenya","No"
"uniqueid_3814 x Kenya","No"
"uniqueid_3815 x Kenya","No"
"uniqueid_3816 x Kenya","Yes"
"uniqueid_3817 x Kenya","No"
"uniqueid_3818 x Kenya","No"
"uniqueid_3819 x Kenya","No"
"uniqueid_3820 x Kenya","Yes"
"uniqueid_3821 x Kenya","Yes"
"uniqueid_3822 x Kenya","No"
"uniqueid_3823 x Kenya","No"
"uniqueid_3824 x Kenya","No"
"uniqueid_3825 x Kenya","Yes"
"uniqueid_3826 x Kenya","No"
"uniqueid_3827 x Kenya","No"
"uniqueid_3828 x Kenya","No"
"uniqueid_3829 x Kenya","No"
"uniqueid_3830 x Kenya","No"
"uniqueid_3831 x Kenya","Yes"
"uniqueid_3832 x Kenya","No"
"uniqueid_3833 x Kenya","No"
"uniqueid_3834 x Kenya","No"
"uniqueid_3835 x Kenya","No"
"uniqueid_3836 x Kenya","No"
"uniqueid_3837 x Kenya","No"
"uniqueid_3838 x Kenya","No"
"uniqueid_3839 x Kenya","No"
"uniqueid_3840 x Kenya","Yes"
"uniqueid_3841 x Kenya","No"
"uniqueid_3842 x Kenya","No"
"uniqueid_3843 x Kenya","No"
"uniqueid_3844 x Kenya","No"
"uniqueid_3845 x Kenya","No"
"uniqueid_3846 x Kenya","No"
"uniqueid_3847 x Kenya","No"
"uniqueid_3848 x Kenya","Yes"
"uniqueid_3849 x Kenya","No"
"uniqueid_3850 x Kenya","No"
"uniqueid_3851 x Kenya","No"
"uniqueid_3852 x Kenya","No"
"uniqueid_3853 x Kenya","Yes"
"uniqueid_3854 x Kenya","No"
"uniqueid_3855 x Kenya","No"
"uniqueid_3856 x Kenya","No"
"uniqueid_3857 x Kenya","No"
"uniqueid_3858 x Kenya","No"
"uniqueid_3859 x Kenya","No"
"uniqueid_3860 x Kenya","No"
"uniqueid_3861 x Kenya","No"
"uniqueid_3862 x Kenya","No"
"uniqueid_3863 x Kenya","No"
"uniqueid_3864 x Kenya","No"
"uniqueid_3865 x Kenya","No"
"uniqueid_3866 x Kenya","No"
"uniqueid_3867 x Kenya","No"
"uniqueid_3868 x Kenya","Yes"
"uniqueid_3869 x Kenya","No"
"uniqueid_3870 x Kenya","No"
"uniqueid_3871 x Kenya","No"
"uniqueid_3872 x Kenya","Yes"
"uniqueid_3873 x Kenya","No"
"uniqueid_3874 x Kenya","No"
"uniqueid_3875 x Kenya","No"
"uniqueid_3876 x Kenya","No"
"uniqueid_3877 x Kenya","No"
"uniqueid_3878 x Kenya","No"
"uniqueid_3879 x Kenya","No"
"uniqueid_3880 x Kenya","No"
"uniqueid_3881 x Kenya","No"
"uniqueid_3882 x Kenya","Yes"
"uniqueid_3883 x Kenya","No"
"uniqueid_3884 x Kenya","No"
"uniqueid_3885 x Kenya","No"
"uniqueid_3886 x Kenya","No"
"uniqueid_3887 x Kenya","No"
"uniqueid_3888 x Kenya","No"
"uniqueid_3889 x Kenya","No"
"uniqueid_3890 x Kenya","No"
"uniqueid_3891 x Kenya","No"
"uniqueid_3892 x Kenya","No"
"uniqueid_3893 x Kenya","No"
"uniqueid_3894 x Kenya","Yes"
"uniqueid_3895 x Kenya","No"
"uniqueid_3896 x Kenya","Yes"
"uniqueid_3897 x Kenya","No"
"uniqueid_3898 x Kenya","Yes"
"uniqueid_3899 x Kenya","No"
"uniqueid_3900 x Kenya","No"
"uniqueid_3901 x Kenya","Yes"
"uniqueid_3902 x Kenya","No"
"uniqueid_3903 x Kenya","No"
"uniqueid_3904 x Kenya","Yes"
"uniqueid_3905 x Kenya","No"
"uniqueid_3906 x Kenya","No"
"uniqueid_3907 x Kenya","No"
"uniqueid_3908 x Kenya","No"
"uniqueid_3909 x Kenya","No"
"uniqueid_3910 x Kenya","No"
"uniqueid_3911 x Kenya","No"
"uniqueid_3912 x Kenya","No"
"uniqueid_3913 x Kenya","No"
"uniqueid_3914 x Kenya","Yes"
"uniqueid_3915 x Kenya","No"
"uniqueid_3916 x Kenya","No"
"uniqueid_3917 x Kenya","Yes"
"uniqueid_3918 x Kenya","No"
"uniqueid_3919 x Kenya","Yes"
"uniqueid_3920 x Kenya","Yes"
"uniqueid_3921 x Kenya","Yes"
"uniqueid_3922 x Kenya","No"
"uniqueid_3923 x Kenya","No"
"uniqueid_3924 x Kenya","No"
"uniqueid_3925 x Kenya","No"
"uniqueid_3926 x Kenya","Yes"
"uniqueid_3927 x Kenya","No"
"uniqueid_3928 x Kenya","Yes"
"uniqueid_3929 x Kenya","No"
"uniqueid_3930 x Kenya","No"
"uniqueid_3931 x Kenya","No"
"uniqueid_3932 x Kenya","No"
"uniqueid_3933 x Kenya","No"
"uniqueid_3934 x Kenya","Yes"
"uniqueid_3935 x Kenya","Yes"
"uniqueid_3936 x Kenya","No"
"uniqueid_3937 x Kenya","No"
"uniqueid_3938 x Kenya","Yes"
"uniqueid_3939 x Kenya","No"
"uniqueid_3940 x Kenya","No"
"uniqueid_3941 x Kenya","No"
"uniqueid_3942 x Kenya","Yes"
"uniqueid_3943 x Kenya","No"
"uniqueid_3944 x Kenya","No"
"uniqueid_3945 x Kenya","Yes"
"uniqueid_3946 x Kenya","No"
"uniqueid_3947 x Kenya","No"
"uniqueid_3948 x Kenya","No"
"uniqueid_3949 x Kenya","No"
"uniqueid_3950 x Kenya","No"
"uniqueid_3951 x Kenya","No"
"uniqueid_3952 x Kenya","No"
"uniqueid_3953 x Kenya","No"
"uniqueid_3954 x Kenya","Yes"
"uniqueid_3955 x Kenya","No"
"uniqueid_3956 x Kenya","No"
"uniqueid_3957 x Kenya","No"
"uniqueid_3958 x Kenya","Yes"
"uniqueid_3959 x Kenya","No"
"uniqueid_3960 x Kenya","No"
"uniqueid_3961 x Kenya","No"
"uniqueid_3962 x Kenya","Yes"
"uniqueid_3963 x Kenya","Yes"
"uniqueid_3964 x Kenya","Yes"
"uniqueid_3965 x Kenya","No"
"uniqueid_3966 x Kenya","No"
"uniqueid_3967 x Kenya","No"
"uniqueid_3968 x Kenya","No"
"uniqueid_3969 x Kenya","No"
"uniqueid_3970 x Kenya","No"
"uniqueid_3971 x Kenya","No"
"uniqueid_3972 x Kenya","No"
"uniqueid_3973 x Kenya","No"
"uniqueid_3974 x Kenya","No"
"uniqueid_3975 x Kenya","Yes"
"uniqueid_3976 x Kenya","No"
"uniqueid_3977 x Kenya","No"
"uniqueid_3978 x Kenya","No"
"uniqueid_3979 x Kenya","Yes"
"uniqueid_3980 x Kenya","No"
"uniqueid_3981 x Kenya","No"
"uniqueid_3982 x Kenya","No"
"uniqueid_3983 x Kenya","No"
"uniqueid_3984 x Kenya","No"
"uniqueid_3985 x Kenya","No"
"uniqueid_3986 x Kenya","Yes"
"uniqueid_3987 x Kenya","No"
"uniqueid_3988 x Kenya","No"
"uniqueid_3989 x Kenya","No"
"uniqueid_3990 x Kenya","No"
"uniqueid_3991 x Kenya","No"
"uniqueid_3992 x Kenya","No"
"uniqueid_3993 x Kenya","No"
"uniqueid_3994 x Kenya","Yes"
"uniqueid_3995 x Kenya","No"
"uniqueid_3996 x Kenya","No"
"uniqueid_3997 x Kenya","No"
"uniqueid_3998 x Kenya","Yes"
"uniqueid_3999 x Kenya","No"
"uniqueid_4000 x Kenya","No"
"uniqueid_4001 x Kenya","No"
"uniqueid_4002 x Kenya","Yes"
"uniqueid_4003 x Kenya","No"
"uniqueid_4004 x Kenya","No"
"uniqueid_4005 x Kenya","No"
"uniqueid_4006 x Kenya","No"
"uniqueid_4007 x Kenya","Yes"
"uniqueid_4008 x Kenya","No"
"uniqueid_4009 x Kenya","No"
"uniqueid_4010 x Kenya","No"
"uniqueid_4011 x Kenya","No"
"uniqueid_4012 x Kenya","Yes"
"uniqueid_4013 x Kenya","No"
"uniqueid_4014 x Kenya","No"
"uniqueid_4015 x Kenya","No"
"uniqueid_4016 x Kenya","No"
"uniqueid_4017 x Kenya","No"
"uniqueid_4018 x Kenya","No"
"uniqueid_4019 x Kenya","No"
"uniqueid_4020 x Kenya","No"
"uniqueid_4021 x Kenya","No"
"uniqueid_4022 x Kenya","Yes"
"uniqueid_4023 x Kenya","Yes"
"uniqueid_4024 x Kenya","No"
"uniqueid_4025 x Kenya","No"
"uniqueid_4026 x Kenya","Yes"
"uniqueid_4027 x Kenya","Yes"
"uniqueid_4028 x Kenya","Yes"
"uniqueid_4029 x Kenya","Yes"
"uniqueid_4030 x Kenya","Yes"
"uniqueid_4031 x Kenya","Yes"
"uniqueid_4032 x Kenya","No"
"uniqueid_4033 x Kenya","No"
"uniqueid_4034 x Kenya","Yes"
"uniqueid_4035 x Kenya","No"
"uniqueid_4036 x Kenya","No"
"uniqueid_4037 x Kenya","No"
"uniqueid_4038 x Kenya","No"
"uniqueid_4039 x Kenya","No"
"uniqueid_4040 x Kenya","No"
"uniqueid_4041 x Kenya","Yes"
"uniqueid_4042 x Kenya","No"
"uniqueid_4043 x Kenya","No"
"uniqueid_4044 x Kenya","Yes"
"uniqueid_4045 x Kenya","Yes"
"uniqueid_4046 x Kenya","Yes"
"uniqueid_4047 x Kenya","No"
"uniqueid_4048 x Kenya","No"
"uniqueid_4049 x Kenya","Yes"
"uniqueid_4050 x Kenya","Yes"
"uniqueid_4051 x Kenya","Yes"
"uniqueid_4052 x Kenya","Yes"
"uniqueid_4053 x Kenya","No"
"uniqueid_4054 x Kenya","No"
"uniqueid_4055 x Kenya","Yes"
"uniqueid_4056 x Kenya","No"
"uniqueid_4057 x Kenya","Yes"
"uniqueid_4058 x Kenya","Yes"
"uniqueid_4059 x Kenya","No"
"uniqueid_4060 x Kenya","No"
"uniqueid_4061 x Kenya","Yes"
"uniqueid_4062 x Kenya","No"
"uniqueid_4063 x Kenya","Yes"
"uniqueid_4064 x Kenya","No"
"uniqueid_4065 x Kenya","No"
"uniqueid_4066 x Kenya","No"
"uniqueid_4067 x Kenya","Yes"
"uniqueid_4068 x Kenya","No"
"uniqueid_4069 x Kenya","No"
"uniqueid_4070 x Kenya","No"
"uniqueid_4071 x Kenya","No"
"uniqueid_4072 x Kenya","No"
"uniqueid_4073 x Kenya","No"
"uniqueid_4074 x Kenya","Yes"
"uniqueid_4075 x Kenya","Yes"
"uniqueid_4076 x Kenya","Yes"
"uniqueid_4077 x Kenya","No"
"uniqueid_4078 x Kenya","No"
"uniqueid_4079 x Kenya","No"
"uniqueid_4080 x Kenya","Yes"
"uniqueid_4081 x Kenya","Yes"
"uniqueid_4082 x Kenya","No"
"uniqueid_4083 x Kenya","No"
"uniqueid_4084 x Kenya","No"
"uniqueid_4085 x Kenya","No"
"uniqueid_4086 x Kenya","No"
"uniqueid_4087 x Kenya","No"
"uniqueid_4088 x Kenya","No"
"uniqueid_4089 x Kenya","No"
"uniqueid_4090 x Kenya","No"
"uniqueid_4091 x Kenya","No"
"uniqueid_4092 x Kenya","No"
"uniqueid_4093 x Kenya","No"
"uniqueid_4094 x Kenya","Yes"
"uniqueid_4095 x Kenya","No"
"uniqueid_4096 x Kenya","No"
"uniqueid_4097 x Kenya","Yes"
"uniqueid_4098 x Kenya","No"
"uniqueid_4099 x Kenya","Yes"
"uniqueid_4100 x Kenya","No"
"uniqueid_4101 x Kenya","No"
"uniqueid_4102 x Kenya","No"
"uniqueid_4103 x Kenya","Yes"
"uniqueid_4104 x Kenya","No"
"uniqueid_4105 x Kenya","No"
"uniqueid_4106 x Kenya","No"
"uniqueid_4107 x Kenya","No"
"uniqueid_4108 x Kenya","No"
"uniqueid_4109 x Kenya","No"
"uniqueid_4110 x Kenya","No"
"uniqueid_4111 x Kenya","No"
"uniqueid_4112 x Kenya","Yes"
"uniqueid_4113 x Kenya","No"
"uniqueid_4114 x Kenya","No"
"uniqueid_4115 x Kenya","Yes"
"uniqueid_4116 x Kenya","No"
"uniqueid_4117 x Kenya","Yes"
"uniqueid_4118 x Kenya","No"
"uniqueid_4119 x Kenya","No"
"uniqueid_4120 x Kenya","No"
"uniqueid_4121 x Kenya","No"
"uniqueid_4122 x Kenya","No"
"uniqueid_4123 x Kenya","No"
"uniqueid_4124 x Kenya","No"
"uniqueid_4125 x Kenya","No"
"uniqueid_4126 x Kenya","Yes"
"uniqueid_4127 x Kenya","No"
"uniqueid_4128 x Kenya","No"
"uniqueid_4129 x Kenya","No"
"uniqueid_4130 x Kenya","No"
"uniqueid_4131 x Kenya","Yes"
"uniqueid_4132 x Kenya","Yes"
"uniqueid_4133 x Kenya","Yes"
"uniqueid_4134 x Kenya","No"
"uniqueid_4135 x Kenya","No"
"uniqueid_4136 x Kenya","No"
"uniqueid_4137 x Kenya","No"
"uniqueid_4138 x Kenya","Yes"
"uniqueid_4139 x Kenya","No"
"uniqueid_4140 x Kenya","Yes"
"uniqueid_4141 x Kenya","Yes"
"uniqueid_4142 x Kenya","Yes"
"uniqueid_4143 x Kenya","No"
"uniqueid_4144 x Kenya","No"
"uniqueid_4145 x Kenya","No"
"uniqueid_4146 x Kenya","No"
"uniqueid_4147 x Kenya","Yes"
"uniqueid_4148 x Kenya","No"
"uniqueid_4149 x Kenya","Yes"
"uniqueid_4150 x Kenya","No"
"uniqueid_4151 x Kenya","No"
"uniqueid_4152 x Kenya","No"
"uniqueid_4153 x Kenya","Yes"
"uniqueid_4154 x Kenya","No"
"uniqueid_4155 x Kenya","Yes"
"uniqueid_4156 x Kenya","No"
"uniqueid_4157 x Kenya","No"
"uniqueid_4158 x Kenya","No"
"uniqueid_4159 x Kenya","Yes"
"uniqueid_4160 x Kenya","No"
"uniqueid_4161 x Kenya","No"
"uniqueid_4162 x Kenya","No"
"uniqueid_4163 x Kenya","No"
"uniqueid_4164 x Kenya","No"
"uniqueid_4165 x Kenya","No"
"uniqueid_4166 x Kenya","No"
"uniqueid_4167 x Kenya","No"
"uniqueid_4168 x Kenya","No"
"uniqueid_4169 x Kenya","No"
"uniqueid_4170 x Kenya","No"
"uniqueid_4171 x Kenya","No"
"uniqueid_4172 x Kenya","No"
"uniqueid_4173 x Kenya","Yes"
"uniqueid_4174 x Kenya","Yes"
"uniqueid_4175 x Kenya","No"
"uniqueid_4176 x Kenya","No"
"uniqueid_4177 x Kenya","No"
"uniqueid_4178 x Kenya","No"
"uniqueid_4179 x Kenya","No"
"uniqueid_4180 x Kenya","No"
"uniqueid_4181 x Kenya","No"
"uniqueid_4182 x Kenya","No"
"uniqueid_4183 x Kenya","Yes"
"uniqueid_4184 x Kenya","No"
"uniqueid_4185 x Kenya","No"
"uniqueid_4186 x Kenya","No"
"uniqueid_4187 x Kenya","Yes"
"uniqueid_4188 x Kenya","Yes"
"uniqueid_4189 x Kenya","No"
"uniqueid_4190 x Kenya","No"
"uniqueid_4191 x Kenya","No"
"uniqueid_4192 x Kenya","Yes"
"uniqueid_4193 x Kenya","Yes"
"uniqueid_4194 x Kenya","No"
"uniqueid_4195 x Kenya","No"
"uniqueid_4196 x Kenya","No"
"uniqueid_4197 x Kenya","Yes"
"uniqueid_4198 x Kenya","No"
"uniqueid_4199 x Kenya","Yes"
"uniqueid_4200 x Kenya","No"
"uniqueid_4201 x Kenya","No"
"uniqueid_4202 x Kenya","No"
"uniqueid_4203 x Kenya","No"
"uniqueid_4204 x Kenya","No"
"uniqueid_4205 x Kenya","Yes"
"uniqueid_4206 x Kenya","No"
"uniqueid_4207 x Kenya","Yes"
"uniqueid_4208 x Kenya","No"
"uniqueid_4209 x Kenya","No"
"uniqueid_4210 x Kenya","No"
"uniqueid_4211 x Kenya","No"
"uniqueid_4212 x Kenya","No"
"uniqueid_4213 x Kenya","Yes"
"uniqueid_4214 x Kenya","No"
"uniqueid_4215 x Kenya","Yes"
"uniqueid_4216 x Kenya","Yes"
"uniqueid_4217 x Kenya","Yes"
"uniqueid_4218 x Kenya","No"
"uniqueid_4219 x Kenya","No"
"uniqueid_4220 x Kenya","Yes"
"uniqueid_4221 x Kenya","No"
"uniqueid_4222 x Kenya","Yes"
"uniqueid_4223 x Kenya","No"
"uniqueid_4224 x Kenya","No"
"uniqueid_4225 x Kenya","No"
"uniqueid_4226 x Kenya","No"
"uniqueid_4227 x Kenya","No"
"uniqueid_4228 x Kenya","No"
"uniqueid_4229 x Kenya","Yes"
"uniqueid_4230 x Kenya","No"
"uniqueid_4231 x Kenya","No"
"uniqueid_4232 x Kenya","No"
"uniqueid_4233 x Kenya","No"
"uniqueid_4234 x Kenya","No"
"uniqueid_4235 x Kenya","Yes"
"uniqueid_4236 x Kenya","Yes"
"uniqueid_4237 x Kenya","No"
"uniqueid_4238 x Kenya","No"
"uniqueid_4239 x Kenya","No"
"uniqueid_4240 x Kenya","Yes"
"uniqueid_4241 x Kenya","Yes"
"uniqueid_4242 x Kenya","No"
"uniqueid_4243 x Kenya","Yes"
"uniqueid_4244 x Kenya","No"
"uniqueid_4245 x Kenya","Yes"
"uniqueid_4246 x Kenya","No"
"uniqueid_4247 x Kenya","No"
"uniqueid_4248 x Kenya","No"
"uniqueid_4249 x Kenya","No"
"uniqueid_4250 x Kenya","No"
"uniqueid_4251 x Kenya","No"
"uniqueid_4252 x Kenya","No"
"uniqueid_4253 x Kenya","No"
"uniqueid_4254 x Kenya","No"
"uniqueid_4255 x Kenya","No"
"uniqueid_4256 x Kenya","No"
"uniqueid_4257 x Kenya","No"
"uniqueid_4258 x Kenya","No"
"uniqueid_4259 x Kenya","No"
"uniqueid_4260 x Kenya","No"
"uniqueid_4261 x Kenya","No"
"uniqueid_4262 x Kenya","No"
"uniqueid_4263 x Kenya","No"
"uniqueid_4264 x Kenya","No"
"uniqueid_4265 x Kenya","No"
"uniqueid_4266 x Kenya","No"
"uniqueid_4267 x Kenya","Yes"
"uniqueid_4268 x Kenya","No"
"uniqueid_4269 x Kenya","No"
"uniqueid_4270 x Kenya","No"
"uniqueid_4271 x Kenya","No"
"uniqueid_4272 x Kenya","No"
"uniqueid_4273 x Kenya","Yes"
"uniqueid_4274 x Kenya","No"
"uniqueid_4275 x Kenya","No"
"uniqueid_4276 x Kenya","No"
"uniqueid_4277 x Kenya","Yes"
"uniqueid_4278 x Kenya","Yes"
"uniqueid_4279 x Kenya","No"
"uniqueid_4280 x Kenya","No"
"uniqueid_4281 x Kenya","No"
"uniqueid_4282 x Kenya","Yes"
"uniqueid_4283 x Kenya","Yes"
"uniqueid_4284 x Kenya","Yes"
"uniqueid_4285 x Kenya","No"
"uniqueid_4286 x Kenya","No"
"uniqueid_4287 x Kenya","No"
"uniqueid_4288 x Kenya","No"
"uniqueid_4289 x Kenya","No"
"uniqueid_4290 x Kenya","No"
"uniqueid_4291 x Kenya","No"
"uniqueid_4292 x Kenya","No"
"uniqueid_4293 x Kenya","No"
"uniqueid_4294 x Kenya","No"
"uniqueid_4295 x Kenya","No"
"uniqueid_4296 x Kenya","No"
"uniqueid_4297 x Kenya","No"
"uniqueid_4298 x Kenya","No"
"uniqueid_4299 x Kenya","No"
"uniqueid_4300 x Kenya","No"
"uniqueid_4301 x Kenya","No"
"uniqueid_4302 x Kenya","No"
"uniqueid_4303 x Kenya","No"
"uniqueid_4304 x Kenya","No"
"uniqueid_4305 x Kenya","No"
"uniqueid_4306 x Kenya","Yes"
"uniqueid_4307 x Kenya","Yes"
"uniqueid_4308 x Kenya","Yes"
"uniqueid_4309 x Kenya","Yes"
"uniqueid_4310 x Kenya","No"
"uniqueid_4311 x Kenya","No"
"uniqueid_4312 x Kenya","No"
"uniqueid_4313 x Kenya","Yes"
"uniqueid_4314 x Kenya","Yes"
"uniqueid_4315 x Kenya","No"
"uniqueid_4316 x Kenya","Yes"
"uniqueid_4317 x Kenya","Yes"
"uniqueid_4318 x Kenya","No"
"uniqueid_4319 x Kenya","No"
"uniqueid_4320 x Kenya","No"
"uniqueid_4321 x Kenya","No"
"uniqueid_4322 x Kenya","Yes"
"uniqueid_4323 x Kenya","No"
"uniqueid_4324 x Kenya","Yes"
"uniqueid_4325 x Kenya","No"
"uniqueid_4326 x Kenya","No"
"uniqueid_4327 x Kenya","No"
"uniqueid_4328 x Kenya","No"
"uniqueid_4329 x Kenya","No"
"uniqueid_4330 x Kenya","Yes"
"uniqueid_4331 x Kenya","No"
"uniqueid_4332 x Kenya","Yes"
"uniqueid_4333 x Kenya","No"
"uniqueid_4334 x Kenya","Yes"
"uniqueid_4335 x Kenya","Yes"
"uniqueid_4336 x Kenya","No"
"uniqueid_4337 x Kenya","No"
"uniqueid_4338 x Kenya","No"
"uniqueid_4339 x Kenya","No"
"uniqueid_4340 x Kenya","No"
"uniqueid_4341 x Kenya","No"
"uniqueid_4342 x Kenya","No"
"uniqueid_4343 x Kenya","Yes"
"uniqueid_4344 x Kenya","No"
"uniqueid_4345 x Kenya","No"
"uniqueid_4346 x Kenya","No"
"uniqueid_4347 x Kenya","No"
"uniqueid_4348 x Kenya","No"
"uniqueid_4349 x Kenya","No"
"uniqueid_4350 x Kenya","Yes"
"uniqueid_4351 x Kenya","Yes"
"uniqueid_4352 x Kenya","No"
"uniqueid_4353 x Kenya","No"
"uniqueid_4354 x Kenya","No"
"uniqueid_4355 x Kenya","No"
"uniqueid_4356 x Kenya","No"
"uniqueid_4357 x Kenya","Yes"
"uniqueid_4358 x Kenya","No"
"uniqueid_4359 x Kenya","No"
"uniqueid_4360 x Kenya","Yes"
"uniqueid_4361 x Kenya","No"
"uniqueid_4362 x Kenya","Yes"
"uniqueid_4363 x Kenya","Yes"
"uniqueid_4364 x Kenya","Yes"
"uniqueid_4365 x Kenya","No"
"uniqueid_4366 x Kenya","No"
"uniqueid_4367 x Kenya","No"
"uniqueid_4368 x Kenya","No"
"uniqueid_4369 x Kenya","Yes"
"uniqueid_4370 x Kenya","No"
"uniqueid_4371 x Kenya","Yes"
"uniqueid_4372 x Kenya","Yes"
"uniqueid_4373 x Kenya","No"
"uniqueid_4374 x Kenya","Yes"
"uniqueid_4375 x Kenya","No"
"uniqueid_4376 x Kenya","No"
"uniqueid_4377 x Kenya","No"
"uniqueid_4378 x Kenya","No"
"uniqueid_4379 x Kenya","No"
"uniqueid_4380 x Kenya","No"
"uniqueid_4381 x Kenya","No"
"uniqueid_4382 x Kenya","No"
"uniqueid_4383 x Kenya","Yes"
"uniqueid_4384 x Kenya","No"
"uniqueid_4385 x Kenya","No"
"uniqueid_4386 x Kenya","No"
"uniqueid_4387 x Kenya","No"
"uniqueid_4388 x Kenya","No"
"uniqueid_4389 x Kenya","No"
"uniqueid_4390 x Kenya","No"
"uniqueid_4391 x Kenya","No"
"uniqueid_4392 x Kenya","Yes"
"uniqueid_4393 x Kenya","No"
"uniqueid_4394 x Kenya","No"
"uniqueid_4395 x Kenya","No"
"uniqueid_4396 x Kenya","No"
"uniqueid_4397 x Kenya","No"
"uniqueid_4398 x Kenya","Yes"
"uniqueid_4399 x Kenya","No"
"uniqueid_4400 x Kenya","Yes"
"uniqueid_4401 x Kenya","No"
"uniqueid_4402 x Kenya","No"
"uniqueid_4403 x Kenya","Yes"
"uniqueid_4404 x Kenya","Yes"
"uniqueid_4405 x Kenya","No"
"uniqueid_4406 x Kenya","No"
"uniqueid_4407 x Kenya","No"
"uniqueid_4408 x Kenya","No"
"uniqueid_4409 x Kenya","Yes"
"uniqueid_4410 x Kenya","No"
"uniqueid_4411 x Kenya","Yes"
"uniqueid_4412 x Kenya","No"
"uniqueid_4413 x Kenya","No"
"uniqueid_4414 x Kenya","No"
"uniqueid_4415 x Kenya","No"
"uniqueid_4416 x Kenya","No"
"uniqueid_4417 x Kenya","No"
"uniqueid_4418 x Kenya","Yes"
"uniqueid_4419 x Kenya","No"
"uniqueid_4420 x Kenya","Yes"
"uniqueid_4421 x Kenya","No"
"uniqueid_4422 x Kenya","No"
"uniqueid_4423 x Kenya","Yes"
"uniqueid_4424 x Kenya","No"
"uniqueid_4425 x Kenya","No"
"uniqueid_4426 x Kenya","No"
"uniqueid_4427 x Kenya","No"
"uniqueid_4428 x Kenya","No"
"uniqueid_4429 x Kenya","No"
"uniqueid_4430 x Kenya","No"
"uniqueid_4431 x Kenya","No"
"uniqueid_4432 x Kenya","Yes"
"uniqueid_4433 x Kenya","No"
"uniqueid_4434 x Kenya","No"
"uniqueid_4435 x Kenya","No"
"uniqueid_4436 x Kenya","No"
"uniqueid_4437 x Kenya","No"
"uniqueid_4438 x Kenya","No"
"uniqueid_4439 x Kenya","Yes"
"uniqueid_4440 x Kenya","No"
"uniqueid_4441 x Kenya","No"
"uniqueid_4442 x Kenya","No"
"uniqueid_4443 x Kenya","No"
"uniqueid_4444 x Kenya","No"
"uniqueid_4445 x Kenya","No"
"uniqueid_4446 x Kenya","No"
"uniqueid_4447 x Kenya","Yes"
"uniqueid_4448 x Kenya","No"
"uniqueid_4449 x Kenya","No"
"uniqueid_4450 x Kenya","No"
"uniqueid_4451 x Kenya","No"
"uniqueid_4452 x Kenya","No"
"uniqueid_4453 x Kenya","No"
"uniqueid_4454 x Kenya","No"
"uniqueid_4455 x Kenya","No"
"uniqueid_4456 x Kenya","No"
"uniqueid_4457 x Kenya","Yes"
"uniqueid_4458 x Kenya","No"
"uniqueid_4459 x Kenya","No"
"uniqueid_4460 x Kenya","No"
"uniqueid_4461 x Kenya","No"
"uniqueid_4462 x Kenya","No"
"uniqueid_4463 x Kenya","No"
"uniqueid_4464 x Kenya","No"
"uniqueid_4465 x Kenya","No"
"uniqueid_4466 x Kenya","Yes"
"uniqueid_4467 x Kenya","No"
"uniqueid_4468 x Kenya","No"
"uniqueid_4469 x Kenya","No"
"uniqueid_4470 x Kenya","No"
"uniqueid_4471 x Kenya","Yes"
"uniqueid_4472 x Kenya","No"
"uniqueid_4473 x Kenya","Yes"
"uniqueid_4474 x Kenya","No"
"uniqueid_4475 x Kenya","No"
"uniqueid_4476 x Kenya","No"
"uniqueid_4477 x Kenya","No"
"uniqueid_4478 x Kenya","No"
"uniqueid_4479 x Kenya","No"
"uniqueid_4480 x Kenya","No"
"uniqueid_4481 x Kenya","No"
"uniqueid_4482 x Kenya","No"
"uniqueid_4483 x Kenya","Yes"
"uniqueid_4484 x Kenya","No"
"uniqueid_4485 x Kenya","Yes"
"uniqueid_4486 x Kenya","Yes"
"uniqueid_4487 x Kenya","No"
"uniqueid_4488 x Kenya","No"
"uniqueid_4489 x Kenya","Yes"
"uniqueid_4490 x Kenya","No"
"uniqueid_4491 x Kenya","No"
"uniqueid_4492 x Kenya","No"
"uniqueid_4493 x Kenya","Yes"
"uniqueid_4494 x Kenya","No"
"uniqueid_4495 x Kenya","No"
"uniqueid_4496 x Kenya","No"
"uniqueid_4497 x Kenya","No"
"uniqueid_4498 x Kenya","No"
"uniqueid_4499 x Kenya","Yes"
"uniqueid_4500 x Kenya","No"
"uniqueid_4501 x Kenya","No"
"uniqueid_4502 x Kenya","No"
"uniqueid_4503 x Kenya","No"
"uniqueid_4504 x Kenya","No"
"uniqueid_4505 x Kenya","No"
"uniqueid_4506 x Kenya","No"
"uniqueid_4507 x Kenya","No"
"uniqueid_4508 x Kenya","No"
"uniqueid_4509 x Kenya","No"
"uniqueid_4510 x Kenya","Yes"
"uniqueid_4511 x Kenya","No"
"uniqueid_4512 x Kenya","No"
"uniqueid_4513 x Kenya","No"
"uniqueid_4514 x Kenya","No"
"uniqueid_4515 x Kenya","No"
"uniqueid_4516 x Kenya","Yes"
"uniqueid_4517 x Kenya","No"
"uniqueid_4518 x Kenya","No"
"uniqueid_4519 x Kenya","No"
"uniqueid_4520 x Kenya","No"
"uniqueid_4521 x Kenya","Yes"
"uniqueid_4522 x Kenya","Yes"
"uniqueid_4523 x Kenya","No"
"uniqueid_4524 x Kenya","No"
"uniqueid_4525 x Kenya","No"
"uniqueid_4526 x Kenya","Yes"
